"Step","mischievous-incantation-4 - train/loss","mischievous-incantation-4 - train/loss__MIN","mischievous-incantation-4 - train/loss__MAX"
"0","0.4609","0.4609","0.4609"
"2","0.2703","0.2703","0.2703"
"3","0.2257","0.2257","0.2257"
"5","0.1938","0.1938","0.1938"
"6","0.1678","0.1678","0.1678"
"8","0.1393","0.1393","0.1393"
"10","0.1357","0.1357","0.1357"
"11","0.1169","0.1169","0.1169"
"13","0.1043","0.1043","0.1043"
"14","0.1027","0.1027","0.1027"
"16","0.0926","0.0926","0.0926"
"17","0.0837","0.0837","0.0837"
"19","0.0842","0.0842","0.0842"
"21","0.0754","0.0754","0.0754"
"22","0.0716","0.0716","0.0716"
"24","0.0649","0.0649","0.0649"
"25","0.0627","0.0627","0.0627"
"27","0.0631","0.0631","0.0631"
"28","0.0581","0.0581","0.0581"
"30","0.0555","0.0555","0.0555"
"32","0.0526","0.0526","0.0526"
"33","0.0488","0.0488","0.0488"
"35","0.0479","0.0479","0.0479"
"36","0.0469","0.0469","0.0469"
"38","0.0468","0.0468","0.0468"
"39","0.0427","0.0427","0.0427"
"41","0.0411","0.0411","0.0411"
"43","0.0425","0.0425","0.0425"
"44","0.0395","0.0395","0.0395"
"46","0.0375","0.0375","0.0375"
"47","0.0381","0.0381","0.0381"
"49","0.0378","0.0378","0.0378"
"50","0.0357","0.0357","0.0357"
"52","0.0357","0.0357","0.0357"
"54","0.0343","0.0343","0.0343"
"55","0.0341","0.0341","0.0341"
"57","0.0329","0.0329","0.0329"
"58","0.0335","0.0335","0.0335"
"60","0.0309","0.0309","0.0309"
"61","0.0322","0.0322","0.0322"
"63","0.0305","0.0305","0.0305"
"65","0.0305","0.0305","0.0305"
"66","0.0299","0.0299","0.0299"
"68","0.0289","0.0289","0.0289"
"69","0.0298","0.0298","0.0298"
"71","0.0292","0.0292","0.0292"
"72","0.0291","0.0291","0.0291"
"74","0.0274","0.0274","0.0274"
"76","0.0284","0.0284","0.0284"
"77","0.0277","0.0277","0.0277"
"79","0.0268","0.0268","0.0268"
"80","0.0277","0.0277","0.0277"
"82","0.0259","0.0259","0.0259"
"83","0.0277","0.0277","0.0277"
"85","0.0257","0.0257","0.0257"
"87","0.0258","0.0258","0.0258"
"88","0.026","0.026","0.026"
"90","0.0253","0.0253","0.0253"
"91","0.0259","0.0259","0.0259"
"93","0.025","0.025","0.025"
"95","0.0256","0.0256","0.0256"
"96","0.0241","0.0241","0.0241"
"98","0.0248","0.0248","0.0248"
"99","0.0247","0.0247","0.0247"
"101","0.0238","0.0238","0.0238"
"102","0.0245","0.0245","0.0245"
"104","0.0237","0.0237","0.0237"
"106","0.0239","0.0239","0.0239"
"107","0.0232","0.0232","0.0232"
"109","0.0234","0.0234","0.0234"
"110","0.023","0.023","0.023"
"112","0.023","0.023","0.023"
"113","0.0228","0.0228","0.0228"
"115","0.0227","0.0227","0.0227"
"117","0.0226","0.0226","0.0226"
"118","0.022","0.022","0.022"
"120","0.0224","0.0224","0.0224"
"121","0.022","0.022","0.022"
"123","0.0214","0.0214","0.0214"
"124","0.0217","0.0217","0.0217"
"126","0.0215","0.0215","0.0215"
"128","0.0214","0.0214","0.0214"
"129","0.021","0.021","0.021"
"131","0.0206","0.0206","0.0206"
"132","0.0209","0.0209","0.0209"
"134","0.0205","0.0205","0.0205"
"135","0.0205","0.0205","0.0205"
